state,gender,activity_code,count_distinct_person
"D & N Haveli and Daman & Diu","male","Travelling related to care-giving services for household members",4
"D & N Haveli and Daman & Diu","male","Activities associated with reflecting, resting, relaxing",125
"D & N Haveli and Daman & Diu","female","Farming of animals and production of animal products for own final use",4
"D & N Haveli and Daman & Diu","female","Indoor cleaning",80
"D & N Haveli and Daman & Diu","female","Outdoor cleaning",22
"D & N Haveli and Daman & Diu","male","Other activities related to mass media use",31
"D & N Haveli and Daman & Diu","female","Other unpaid domestic services for household members",10
"D & N Haveli and Daman & Diu","male","Playing games and other pastime activities",41
"D & N Haveli and Daman & Diu","female","Providing paid domestic services",6
"D & N Haveli and Daman & Diu","male","Indoor cleaning",31
"D & N Haveli and Daman & Diu","male","Preparing meals/snacks",35
"D & N Haveli and Daman & Diu","male","Transporting goods and passengers for pay or profit in household enterprises",11
"D & N Haveli and Daman & Diu","male","Receiving personal care from others",3
"D & N Haveli and Daman & Diu","female","Socializing/getting together/gathering activities",12
"D & N Haveli and Daman & Diu","transgender","Talking, conversing, chatting",1
"D & N Haveli and Daman & Diu","transgender","Activities associated with reflecting, resting, relaxing",1
"D & N Haveli and Daman & Diu","female","Instructing, teaching, training, helping children",3
"D & N Haveli and Daman & Diu","female","Mending/repairing and care of clothes and shoes; cleaning and polishing shoes",1
"D & N Haveli and Daman & Diu","female","Night sleep/essential sleep",2
"D & N Haveli and Daman & Diu","male","Reading for leisure",4
"D & N Haveli and Daman & Diu","male","Listening to radio and audio devices",3
"D & N Haveli and Daman & Diu","female","Travelling, moving, transporting or accompanying goods or persons related to own-use production of goods",1
"D & N Haveli and Daman & Diu","female","Shopping for/purchasing of goods and related activities",1
"D & N Haveli and Daman & Diu","female","Listening to radio and audio devices",3
"D & N Haveli and Daman & Diu","female","Providing paid business and professional services in household enterprises",3
"D & N Haveli and Daman & Diu","transgender","Preparing meals/snacks",1
"D & N Haveli and Daman & Diu","male","Fetching water from natural and other sources for own final use",7
"D & N Haveli and Daman & Diu","female","Gathering firewood and other natural products used as fuel for own final use",4
"D & N Haveli and Daman & Diu","female","Storing, arranging, preserving food stocks",1
"D & N Haveli and Daman & Diu","male","Shopping for/purchasing of goods and related activities",3
"D & N Haveli and Daman & Diu","male","Travelling, moving, transporting or accompanying goods or persons related to own-use production of goods",6
"D & N Haveli and Daman & Diu","female","Construction activities for the market in household enterprises",7
"D & N Haveli and Daman & Diu","female","Reading for leisure",4
"D & N Haveli and Daman & Diu","female","Upkeep of indoor/outdoor plants, hedges, garden, grounds, landscape, etc.",1
"D & N Haveli and Daman & Diu","male","Participating in community social functions (music, dance, etc.)",1
"D & N Haveli and Daman & Diu","female","Other activities related to mass media use",7
"D & N Haveli and Daman & Diu","male","Health/medical care to oneself",2
"D & N Haveli and Daman & Diu","male","Receiving health/medical care from others",2
"D & N Haveli and Daman & Diu","male","Travelling time related to self-care and maintenance activities",1
"D & N Haveli and Daman & Diu","male","Fishing for the market in household enterprises",5
"D & N Haveli and Daman & Diu","female","Unpaid volunteer childcare and instruction",1
"D & N Haveli and Daman & Diu","male","Incidental sleep/naps",6
"D & N Haveli and Daman & Diu","male","Caring for children including feeding, cleaning, physical care",2
"D & N Haveli and Daman & Diu","female","Incidental sleep/naps",2
"D & N Haveli and Daman & Diu","male","Providing paid business and professional services in household enterprises",13
"D & N Haveli and Daman & Diu","female","Forestry and logging for the market in household enterprises",2
"D & N Haveli and Daman & Diu","female","Vending and trading of goods in household enterprises",6
"D & N Haveli and Daman & Diu","female","Travelling, moving, transporting or accompanying goods or persons related to unpaid domestic services for household members",2
"D & N Haveli and Daman & Diu","male","Travelling, moving, transporting or accompanying goods or persons related to unpaid domestic services for household members",1
"D & N Haveli and Daman & Diu","male","Playing and sports with children",7
"D & N Haveli and Daman & Diu","female","Private prayer, meditation and other spiritual activities",23
"D & N Haveli and Daman & Diu","male","Cleaning up after food preparation/meals/snacks",20
"D & N Haveli and Daman & Diu","male","Socializing/getting together/gathering activities",16
"D & N Haveli and Daman & Diu","female","Meetings and arrangements with schools and child care service providers",1
"D & N Haveli and Daman & Diu","female","Other activities related to household management",2
"D & N Haveli and Daman & Diu","male","Hand/machine-washing",17
"D & N Haveli and Daman & Diu","male","Other unpaid domestic services for household members",2
"D & N Haveli and Daman & Diu","female","Playing games and other pastime activities",24
"D & N Haveli and Daman & Diu","female","Other activities related to food and meals management and preparation",3
"D & N Haveli and Daman & Diu","female","Health/medical care to oneself",4
"D & N Haveli and Daman & Diu","male","Meetings and arrangements with schools and child care service providers",1
"D & N Haveli and Daman & Diu","male","Watching/listening to television and video",92
"Delhi","male","Employment in corporations, government and non-profit institutions",593
"Delhi","female","Travelling time related to socializing and communication, community participation and religious practice",6
"Delhi","female","Other unpaid domestic services for household members",1
"Delhi","female","Eating meals/snack",1491
"Delhi","female","Storing, arranging, preserving food stocks",7
"Delhi","female","Cleaning up after food preparation/meals/snacks",473
"Delhi","female","Activities associated with reflecting, resting, relaxing",180
"Delhi","male","Commuting",1257
"Delhi","female","Personal hygiene and care",763
"Delhi","female","Private prayer, meditation and other spiritual activities",314
"Delhi","female","School/university attendance",259
"Delhi","male","Raising animals for the market in household enterprises",2
"Delhi","male","Eating meals/snack",1557
"Delhi","male","Playing and sports with children",40
"Delhi","female","Preparing meals/snacks",412
"Delhi","female","Caring for children including feeding, cleaning, physical care",449
"Delhi","female","Hand/machine-washing",297
"Delhi","female","Drying textiles and clothing",60
"Delhi","male","Activities associated with reflecting, resting, relaxing",131
"Delhi","male","Vending and trading of goods in household enterprises",259
"Delhi","male","Talking, conversing, chatting",532
"Delhi","male","Participating in community celebrations of cultural/historic events",1
"Delhi","female","Talking, conversing, chatting",407
"Delhi","female","Socializing/getting together/gathering activities",52
"Delhi","female","Watching/listening to television and video",354
"Delhi","male","Other activities related to formal education",1
"Delhi","female","Breaks during working time within employment",3
"Delhi","female","Serving meals/snacks",210
"Delhi","male","School/university attendance",278
"Delhi","male","Socializing/getting together/gathering activities",68
"Delhi","male","Playing games and other pastime activities",61
"Delhi","male","Personal hygiene and care",671
"Delhi","male","Private prayer, meditation and other spiritual activities",103
"Delhi","female","Providing paid domestic services",30
"Delhi","male","Homework, being tutored, course review, research and activities related to formal education",74
"Delhi","male","Drinking other than with meal or snack",65
"Delhi","male","Self-study for distance education course work (video, audio, online)",11
"Delhi","female","Listening to radio and audio devices",19
"Delhi","female","Participating in collective religious practice",3
"Delhi","male","Other activities related to culture, leisure, mass-media and sports practices",2
"Delhi","female","Reading for leisure",12
"Delhi","male","Other activities related to religious practice",10
"Delhi","male","Outdoor cleaning",2
"Delhi","male","Vehicle maintenance and repairs",8
"Delhi","female","Reading and writing mail (including email)",1
"Delhi","female","Upkeep of indoor/outdoor plants, hedges, garden, grounds, landscape, etc.",6
"Delhi","male","Travelling, moving, transporting or accompanying goods or persons related to unpaid domestic services for household members",2
"Delhi","male","Shopping for/purchasing of goods and related activities",15
"Delhi","female","Making, processing food products, beverages and tobacco for own final use",2
"Delhi","male","Drying textiles and clothing",5
"Delhi","female","Breaks at place of formal education",5
"Delhi","male","Caring for children including feeding, cleaning, physical care",70
"Delhi","male","Making and processing goods for the market in household enterprises",289
"Delhi","transgender","Talking, conversing, chatting",1
"Delhi","female","Indoor cleaning",592
"Delhi","male","Transporting goods and passengers for pay or profit in household enterprises",139
"Delhi","female","Making and processing goods for the market in household enterprises",19
"Delhi","male","Cleaning up after food preparation/meals/snacks",79
"Delhi","male","Watching/listening to television and video",527
"Delhi","female","Travelling time related to learning",78
"Delhi","male","Breaks during working time within employment",2
"Delhi","female","Travelling, moving, transporting or accompanying goods or persons related to unpaid domestic services for household members",1
"Delhi","female","Shopping for/availing of services and related activity",1
"Delhi","female","Night sleep/essential sleep",14
"Delhi","male","Breaks at place of formal education",4
"Delhi","female","Shopping for/purchasing of goods and related activities",4
"Delhi","male","Other activities related to personal hygiene and care",36
"Delhi","male","Other activities related to childcare and instruction",2
"Delhi","female","Receiving personal care from others",1
"Delhi","female","Other activities related to personal hygiene and care",23
"Delhi","female","Other activities related to employment in household enterprises providing services",7
"Delhi","male","Other activities related to employment in household enterprises to produce goods",11
"Delhi","male","Employment-related travel",5
"Delhi","female","Vending and trading of goods in household enterprises",22
"Delhi","male","Participating in sports",4
"Delhi","female","Other activities related to childcare and instruction",10
"Delhi","male","Ironing/pressing/folding",3
"Delhi","female","Passive care of dependent adult",6
"Delhi","female","Additional study, non-formal education and courses",30
"Delhi","female","Providing paid business and professional services in household enterprises",7
"Delhi","male","Receiving personal care from others",5
"Delhi","male","Talking with and reading to children",4
"Delhi","male","Storing, arranging, preserving food stocks",1
"Delhi","male","Additional study, non-formal education and courses",36
"Delhi","male","Serving meals/snacks",1
"Delhi","male","Other activities related to learning",4
"Delhi","female","Participating in community rites/events (non-religious) of weddings, funerals, births and similar rites-ofpassage",2
"Delhi","female","Commuting",141
"Delhi","female","Other activities related to care for dependent adults",3
"Delhi","female","Playing and sports with children",4
"Delhi","male","Growing of crops for the market in household enterprises",5
"Delhi","female","Playing games and other pastime activities",30
"Delhi","female","Other activities related to food and meals management and preparation",16
"Delhi","female","Incidental sleep/naps",5
"Delhi","male","Providing paid repair, installation, maintenance and disposal in household enterprises",63
"Delhi","male","Listening to radio and audio devices",69
"Delhi","male","Indoor cleaning",47
"Delhi","male","Other activities related to employment in household enterprises providing services",81
"Delhi","female","Other activities related to religious practice",19
"Delhi","male","Travelling time related to learning",111
"Delhi","male","Preparing meals/snacks",144
"Delhi","male","Travelling time related to socializing and communication, community participation and religious practice",11
"Delhi","female","Minding children (passive care)",55
"Delhi","male","Attendance at parks/gardens",14
"Delhi","male","Seeking employment",10
"Delhi","transgender","Personal hygiene and care",1
"Delhi","transgender","Eating meals/snack",1
"Delhi","male","Hand/machine-washing",19
"Delhi","transgender","Cleaning up after food preparation/meals/snacks",1
"Delhi","transgender","Indoor cleaning",1
"Delhi","female","Self-study for distance education course work (video, audio, online)",8
"Delhi","male","Construction activities for the market in household enterprises",68
"Delhi","male","Night sleep/essential sleep",41
"Delhi","male","Incidental sleep/naps",8
"Delhi","female","Outdoor cleaning",60
"Delhi","male","Travelling time related to self-care and maintenance activities",5
"Delhi","male","Exercising",39
"Delhi","male","Providing paid business and professional services in household enterprises",77
"Delhi","male","Other activities related to mass media use",7
"Delhi","male","Other self-care and maintenance activities",2
"Delhi","female","Other activities related to mass media use",3
"Delhi","male","Providing paid personal care services in household enterprises",18
"Delhi","male","Reading for leisure",64
"Delhi","female","Drinking other than with meal or snack",39
"Delhi","male","Providing paid domestic services",14
"Delhi","female","Feeding, cleaning, physical care for non-dependent adult household members including for temporary illness",1
"Delhi","male","Other activities related to food and meals management and preparation",1
"Delhi","male","Construction activities for own final use",1
"Delhi","female","Other activities related to socializing and communication",1
"Delhi","male","Other activities related to socializing and communication",7
"Delhi","male","Attendance at sports events",1
"Delhi","female","Seeking employment",1
"Delhi","male","Unpaid volunteer office/administrative work",1
"Delhi","male","Travelling time related to unpaid volunteer, trainee and other unpaid work",1
"Delhi","female","Receiving health/medical care from others",2
"Delhi","female","Other activities related to cleaning and upkeep of dwelling and surroundings",3
"Delhi","male","Travelling, moving, transporting or accompanying goods or persons related to own-use production of goods",1
"Delhi","male","Minding children (passive care)",7
"Delhi","male","Assisting dependent adults with medical care",1
"Delhi","male","Health/medical care to oneself",2
"Delhi","female","Ironing/pressing/folding",2
"Delhi","female","Other activities related to care for non-dependent adult household members",1
"Delhi","male","Participating in collective religious practice",2
"Delhi","female","Providing paid personal care services in household enterprises",4
"Delhi","female","Construction activities for the market in household enterprises",2
"Delhi","male","Travelling related to care-giving services for household members",6
"Delhi","male","Instructing, teaching, training, helping children",2
"Delhi","female","Attendance at parks/gardens",4
"Delhi","male","Activities ancillary to employment",1
"Delhi","male","Training and studies in relation to employment",6
"Delhi","female","Exercising",4
"Delhi","male","Other sleep and related activities",1
"Delhi","female","Travelling related to care-giving services for household members",11
"Delhi","female","Employment in corporations, government and non-profit institutions",109
"Delhi","male","Installation, servicing and repair of personal and household goods including ICT equipment",1
"Delhi","female","Hobbies",1
"Delhi","female","Assisting dependent adults with medical care",2
"Delhi","male","Receiving health/medical care from others",4
"Delhi","male","Hobbies",1
"Delhi","female","Other activities related to cultural participation, hobbies, games",1
"Delhi","male","Reading and writing mail (including email)",7
"Delhi","female","Homework, being tutored, course review, research and activities related to formal education",44
"Delhi","male","Participating in community rites/events (non-religious) of weddings, funerals, births and similar rites-ofpassage",1
"Delhi","male","Travelling time related to culture, leisure, mass-media and sports practices",4
"Goa","female","Additional study, non-formal education and courses",1
"Goa","female","Talking, conversing, chatting",82
"Goa","female","Recycling and disposal of garbage",2
"Goa","female","Mending/repairing and care of clothes and shoes; cleaning and polishing shoes",4
"Goa","male","Providing paid personal care services in household enterprises",2
"Goa","female","Providing paid personal care services in household enterprises",3
"Goa","female","Reading for leisure",2
"Goa","male","Making, processing of wood and bark products for own final use",1
"Goa","female","Meetings and arrangements with schools and child care service providers",1
"Goa","female","Travelling time related to culture, leisure, mass-media and sports practices",2
"Goa","female","Attendance at organized/mass cultural events and shows",2
"Goa","male","Breaks during working time within employment",1
"Goa","female","Travelling time related to socializing and communication, community participation and religious practice",3
"Goa","male","Outdoor cleaning",1
"Goa","female","Construction activities for the market in household enterprises",1
"Goa","female","Making and processing goods for the market in household enterprises",1
"Goa","male","Providing paid business and professional services in household enterprises",2
"Goa","female","Other activities related to employment in household enterprises to produce goods",1
"Goa","female","Night sleep/essential sleep",5
"Goa","male","Providing paid domestic services",3
"Goa","female","Homework, being tutored, course review, research and activities related to formal education",1
"Goa","female","Fishing for own final use",1
"Goa","female","Storing, arranging, preserving food stocks",4
"Goa","male","Vehicle maintenance and repairs",1
"Goa","female","Shopping for/purchasing of goods and related activities",6
"Goa","male","Playing games and other pastime activities",5
"Goa","male","Indoor cleaning",3
"Goa","male","Cleaning up after food preparation/meals/snacks",3
"Goa","female","Travelling time related to self-care and maintenance activities",2
"Goa","male","Travelling time related to self-care and maintenance activities",3
"Goa","male","Attendance at organized/mass cultural events and shows",1
"Goa","male","Travelling time related to culture, leisure, mass-media and sports practices",4
"Goa","female","Providing paid business and professional services in household enterprises",1
"Goa","male","Travelling, moving, transporting or accompanying goods or persons related to unpaid domestic services for household members",5
"Goa","male","Raising animals for the market in household enterprises",3
"Goa","male","Health/medical care to oneself",4
"Goa","male","Preparing meals/snacks",7
"Goa","male","Hand/machine-washing",3
"Goa","female","Travelling, moving, transporting or accompanying goods or persons related to unpaid domestic services for household members",1
"Goa","male","Construction activities for the market in household enterprises",13
"Goa","male","Activities associated with reflecting, resting, relaxing",10
"Goa","male","Attendance at sports events",1
"Goa","male","Daily pet care",1
"Goa","male","Caring for children including feeding, cleaning, physical care",6
"Goa","female","Self-study for distance education course work (video, audio, online)",1
"Goa","female","Gathering firewood and other natural products used as fuel for own final use",1
"Goa","female","Other activities related to employment in household enterprises providing services",2
"Goa","male","Activities ancillary to employment",1
"Goa","male","Socializing/getting together/gathering activities",6
"Goa","female","Fetching water from natural and other sources for own final use",3
"Goa","female","Forestry and logging for own final use",1
"Goa","male","Forestry and logging for own final use",1
"Goa","male","Training and studies in relation to employment",1
"Goa","male","Homework, being tutored, course review, research and activities related to formal education",13
"Goa","male","Playing and sports with children",4
"Goa","female","Playing and sports with children",3
"Goa","female","Drinking other than with meal or snack",7
"Goa","male","Providing paid repair, installation, maintenance and disposal in household enterprises",8
"Goa","male","Drinking other than with meal or snack",8
"Goa","male","Other activities related to employment in household enterprises providing services",24
"Goa","male","Vending and trading of goods in household enterprises",13
"Goa","female","Vending and trading of goods in household enterprises",5
"Goa","female","Farming of animals and production of animal products for own final use",1
"Goa","male","Upkeep of indoor/outdoor plants, hedges, garden, grounds, landscape, etc.",9
"Goa","female","Participating in community rites/events (non-religious) of weddings, funerals, births and similar rites-ofpassage",2
"Goa","female","Activities associated with reflecting, resting, relaxing",10
"Goa","male","Ironing/pressing/folding",2
"Goa","male","Night sleep/essential sleep",13
"Goa","male","Private prayer, meditation and other spiritual activities",16
"Goa","female","Private prayer, meditation and other spiritual activities",35
"Goa","female","Travelling, moving, transporting or accompanying goods or persons related to own-use production of goods",1
"Goa","female","Ironing/pressing/folding",4
"Goa","male","Fishing for own final use",7
"Goa","female","Participating in collective religious practice",3
"Goa","female","Growing crops and kitchen gardening, for own final use",8
"Goa","female","Drying textiles and clothing",12
"Goa","female","Hand/machine-washing",94
"Goa","male","Growing crops and kitchen gardening, for own final use",11
"Goa","male","Reading for leisure",21
"Goa","female","Gathering wild products for own final use",2
"Goa","female","Preparing meals/snacks",60
"Goa","female","Upkeep of indoor/outdoor plants, hedges, garden, grounds, landscape, etc.",29
"Goa","female","Personal hygiene and care",88
"Goa","female","Growing of crops for the market in household enterprises",8
"Goa","female","Making, processing food products, beverages and tobacco for own final use",2
"Goa","male","Growing of crops for the market in household enterprises",12
"Goa","female","School/university attendance",74
"Goa","female","Travelling time related to learning",20
"Goa","male","Travelling time related to learning",12
"Goa","female","Travelling related to care-giving services for household members",2
"Goa","female","Incidental sleep/naps",16
"Goa","male","Incidental sleep/naps",9
"Goa","male","Listening to radio and audio devices",19
"Goa","male","Exercising",11
"Goa","female","Listening to radio and audio devices",10
"Goa","female","Employment in corporations, government and non-profit institutions",93
"Goa","male","Watching/listening to television and video",73
"Goa","male","Shopping for/purchasing of goods and related activities",16
"Goa","female","Caring for children including feeding, cleaning, physical care",49
"Goa","male","Talking, conversing, chatting",96
"Goa","male","Eating meals/snack",208
"Goa","male","Personal hygiene and care",87
"Goa","male","Transporting goods and passengers for pay or profit in household enterprises",7
"Goa","female","Watching/listening to television and video",81
"Goa","female","Socializing/getting together/gathering activities",3
"Goa","male","Other activities related to religious practice",1
"Goa","female","Serving meals/snacks",2
"Goa","male","School/university attendance",59
"Goa","female","Providing paid domestic services",5
"Goa","female","Commuting",82
"Goa","male","Mining and quarrying for the market in household enterprises",1
"Goa","male","Commuting",211
"Goa","female","Outdoor cleaning",25
"Goa","female","Indoor cleaning",96
"Goa","female","Cleaning up after food preparation/meals/snacks",65
"Goa","male","Employment in corporations, government and non-profit institutions",207
"Goa","female","Seeking employment",1
"Goa","female","Other activities related to formal education",1
"Goa","female","Instructing, teaching, training, helping children",1
"Goa","male","Mending/repairing and care of clothes and shoes; cleaning and polishing shoes",1
"Goa","female","Other activities related to cleaning and upkeep of dwelling and surroundings",6
"Goa","male","Travelling time related to unpaid volunteer, trainee and other unpaid work",1
"Goa","male","Other activities related to community- and organizationbased unpaid volunteering",1
"Goa","male","Other activities related to mass media use",1
"Goa","female","Other activities related to mass media use",1
"Goa","female","Other activities related to personal hygiene and care",1
"Goa","female","Exercising",3
"Goa","male","Instructing, teaching, training, helping children",1
"Goa","male","Fishing for the market in household enterprises",3
"Goa","female","Accompanying dependent adults",1
"Goa","female","Receiving health/medical care from others",3
"Goa","male","Making and processing goods for the market in household enterprises",6
"Goa","male","Travelling time related to socializing and communication, community participation and religious practice",5
"Goa","male","Assisting dependent adults with medical care",1
"Goa","female","Daily pet care",3
"Goa","male","Receiving personal care from others",1
"Goa","male","Hobbies",1
"Goa","male","Other activities related to learning",1
"Goa","female","Health/medical care to oneself",5
"Goa","female","Eating meals/snack",199
"Goa","male","Recycling and disposal of garbage",3
"Gujarat","female","Other activities related to household management",133
"Gujarat","female","Extra-curricular activities",22
"Gujarat","male","Other activities related to food and meals management and preparation",16
"Gujarat","male","Talking with and reading to children",30
"Gujarat","male","Other sleep and related activities",3
"Gujarat","female","Training and studies in relation to employment",3
"Gujarat","female","Socializing/getting together/gathering activities",132
"Gujarat","male","Other activities related to receiving personal and health/medical care",3
"Gujarat","female","Unpaid volunteer care for adults",2
"Gujarat","male","Providing paid repair, installation, maintenance and disposal in household enterprises",159
"Gujarat","male","Socializing/getting together/gathering activities",250
"Gujarat","male","Listening to radio and audio devices",53
"Gujarat","female","Providing medical care to children",14
"Gujarat","male","Exercising",89
"Gujarat","female","Activities ancillary to employment",7
"Gujarat","male","Fetching water from natural and other sources for own final use",13
"Gujarat","female","Other activities related to employment in household enterprises to produce goods",51
"Gujarat","male","Other activities related to employment in household enterprises to produce goods",164
"Gujarat","female","Construction activities for the market in household enterprises",25
"Gujarat","female","Farming of animals and production of animal products for own final use",177
"Gujarat","male","Self-study for distance education course work (video, audio, online)",27
"Gujarat","male","Raising animals for the market in household enterprises",146
"Gujarat","female","Receiving health/medical care from others",6
"Gujarat","male","Farming of animals and production of animal products for own final use",57
"Gujarat","female","Incidental sleep/naps",20
"Gujarat","male","Gathering firewood and other natural products used as fuel for own final use",2
"Gujarat","male","Construction activities for own final use",8
"Gujarat","female","Construction activities for own final use",2
"Gujarat","male","Forestry and logging for the market in household enterprises",5
"Gujarat","male","Travelling, moving, transporting or accompanying goods or persons related to unpaid domestic services for household members",97
"Gujarat","male","Growing crops and kitchen gardening, for own final use",72
"Gujarat","female","Vending and trading of goods in household enterprises",75
"Gujarat","female","Travelling related to care-giving services for household members",21
"Gujarat","female","Self-study for distance education course work (video, audio, online)",17
"Gujarat","male","Travelling time related to socializing and communication, community participation and religious practice",289
"Gujarat","male","Other activities related to attendance at cultural, entertainment and sports events",13
"Gujarat","female","Other activities related to attendance at cultural, entertainment and sports events",8
"Gujarat","male","Other unpaid domestic services for household members",1
"Gujarat","female","Night sleep/essential sleep",159
"Gujarat","male","Reading and writing mail (including email)",16
"Gujarat","female","Reading and writing mail (including email)",9
"Gujarat","female","Growing crops and kitchen gardening, for own final use",49
"Gujarat","female","Breaks at place of formal education",114
"Gujarat","male","Breaks at place of formal education",157
"Gujarat","female","Recycling and disposal of garbage",52
"Gujarat","male","Participating in sports",7
"Gujarat","male","Travelling time related to culture, leisure, mass-media and sports practices",25
"Gujarat","female","Making, processing food products, beverages and tobacco for own final use",6
"Gujarat","male","Shopping for/purchasing of goods and related activities",114
"Gujarat","male","Other activities related to learning",22
"Gujarat","male","Travelling, moving, transporting or accompanying goods or persons related to own-use production of goods",70
"Gujarat","male","Employment-related travel",78
"Gujarat","transgender","Hand/machine-washing",1
"Gujarat","transgender","Drying textiles and clothing",1
"Gujarat","female","Providing paid domestic services",98
"Gujarat","female","Receiving personal care from others",66
"Gujarat","female","Other sleep and related activities",4
"Gujarat","female","Making, processing of products using other materials for own final use",1
"Gujarat","female","Other activities related to food and meals management and preparation",183
"Gujarat","male","Private prayer, meditation and other spiritual activities",355
"Gujarat","male","Night sleep/essential sleep",431
"Gujarat","male","Caring for children including feeding, cleaning, physical care",49
"Gujarat","female","Instructing, teaching, training, helping children",56
"Gujarat","male","Providing paid business and professional services in household enterprises",196
"Gujarat","female","Playing and sports with children",212
"Gujarat","female","Other activities related to care for non-dependent adult household members",9
"Gujarat","female","Travelling time related to socializing and communication, community participation and religious practice",251
"Gujarat","male","Reading for leisure",301
"Gujarat","female","Reading for leisure",91
"Gujarat","male","Other activities related to formal education",32
"Gujarat","female","Other activities related to cleaning and upkeep of dwelling and surroundings",200
"Gujarat","male","Providing paid personal care services in household enterprises",46
"Gujarat","female","Other activities related to formal education",39
"Gujarat","male","Activities ancillary to employment",10
"Gujarat","male","Cleaning up after food preparation/meals/snacks",53
"Gujarat","female","Participating in collective religious practice",46
"Gujarat","female","Daily pet care",18
"Gujarat","female","Hand/machine-washing",3699
"Gujarat","female","Other activities related to religious practice",60
"Gujarat","female","Personal hygiene and care",1324
"Gujarat","female","Drying textiles and clothing",2373
"Gujarat","female","Preparing meals/snacks",1230
"Gujarat","male","School/university attendance",988
"Gujarat","male","Eating meals/snack",2298
"Gujarat","male","Talking, conversing, chatting",3068
"Gujarat","female","Growing of crops for the market in household enterprises",911
"Gujarat","female","Private prayer, meditation and other spiritual activities",434
"Gujarat","female","Eating meals/snack",2229
"Gujarat","male","Preparing meals/snacks",93
"Gujarat","male","Indoor cleaning",80
"Gujarat","female","Outdoor cleaning",859
"Gujarat","female","Raising animals for the market in household enterprises",233
"Gujarat","male","Drinking other than with meal or snack",1456
"Gujarat","male","Playing games and other pastime activities",691
"Gujarat","female","Drinking other than with meal or snack",954
"Gujarat","female","Playing games and other pastime activities",462
"Gujarat","male","Growing of crops for the market in household enterprises",2472
"Gujarat","female","Watching/listening to television and video",1202
"Gujarat","female","Activities associated with reflecting, resting, relaxing",1651
"Gujarat","female","Indoor cleaning",2203
"Gujarat","male","Commuting",2783
"Gujarat","female","Employment in corporations, government and non-profit institutions",223
"Gujarat","male","Personal hygiene and care",1619
"Gujarat","male","Drying textiles and clothing",56
"Gujarat","male","Activities associated with reflecting, resting, relaxing",961
"Gujarat","male","Outdoor cleaning",13
"Gujarat","male","Construction activities for the market in household enterprises",380
"Gujarat","female","Caring for children including feeding, cleaning, physical care",1227
"Gujarat","female","Fetching water from natural and other sources for own final use",326
"Gujarat","male","Vending and trading of goods in household enterprises",601
"Gujarat","female","Commuting",746
"Gujarat","female","Cleaning up after food preparation/meals/snacks",1953
"Gujarat","male","Homework, being tutored, course review, research and activities related to formal education",529
"Gujarat","male","Travelling time related to learning",589
"Gujarat","male","Transporting goods and passengers for pay or profit in household enterprises",315
"Gujarat","male","Employment in corporations, government and non-profit institutions",1018
"Gujarat","male","Attendance at parks/gardens",7
"Gujarat","male","Making and processing goods for the market in household enterprises",646
"Gujarat","female","Talking, conversing, chatting",2991
"Gujarat","female","Homework, being tutored, course review, research and activities related to formal education",458
"Gujarat","female","Travelling time related to learning",465
"Gujarat","female","School/university attendance",734
"Gujarat","female","Making and processing goods for the market in household enterprises",137
"Gujarat","male","Watching/listening to television and video",1582
"Gujarat","male","Playing and sports with children",177
"Gujarat","male","Hand/machine-washing",71
"Gujarat","male","Other activities related to personal hygiene and care",164
"Gujarat","female","Other activities related to personal hygiene and care",118
"Gujarat","male","Receiving personal care from others",92
"Gujarat","male","Participating in collective religious practice",25
"Gujarat","male","Other activities related to mass media use",371
"Gujarat","female","Other activities related to mass media use",154
"Gujarat","female","Travelling, moving, transporting or accompanying goods or persons related to unpaid domestic services for household members",76
"Gujarat","female","Shopping for/purchasing of goods and related activities",123
"Gujarat","female","Making, processing textiles, wearing apparel, leather and related products for own final use",11
"Gujarat","female","Participating in community social functions (music, dance, etc.)",2
"Gujarat","male","Unpaid volunteer household maintenance, management, construction, renovation and repair",1
"Gujarat","female","Other activities related to community participation",1
"Gujarat","female","Shopping for/availing of services and related activity",4
"Gujarat","male","Assisting dependent adults with medical care",2
"Gujarat","female","Sleeplessness",1
"Gujarat","male","Meetings and arrangements with schools and child care service providers",1
"Gujarat","male","Training and studies in relation to employment",1
"Gujarat","male","Storing, arranging, preserving food stocks",3
"Gujarat","male","Mending/repairing and care of clothes and shoes; cleaning and polishing shoes",3
"Gujarat","male","Making, processing textiles, wearing apparel, leather and related products for own final use",1
"Gujarat","female","Transporting goods and passengers for pay or profit in household enterprises",2
"Gujarat","male","Unpaid volunteer cultural activities, recreation and sports activities",1
"Gujarat","male","Other activities related to care for non-dependent adult household members",1
"Gujarat","male","Passive care of dependent adult",3
"Gujarat","female","Participating in sports",1
"Gujarat","female","Attendance at parks/gardens",1
"Gujarat","female","Paying household bills",1
"Gujarat","male","Unpaid volunteer preparing/serving meals, cleaning up",2
"Gujarat","female","Other unpaid work activities",1
"Gujarat","male","Attendance at sports events",1
"Gujarat","female","Affective/emotional support for dependent adults",1
"Gujarat","male","Other activities related to care for dependent adults",2
"Gujarat","male","Assisting dependent adults with tasks of daily living",1
"Gujarat","male","Other activities related to direct unpaid volunteering for other households",1
"Gujarat","male","Unpaid volunteer office/administrative work",1
"Gujarat","female","Accompanying non-dependent adult household members",1
"Gujarat","male","Accompanying non-dependent adult household members",2
"Gujarat","female","Other activities related to care for dependent adults",1
